fishing_event_id,year,month,day,time_deployed,time_retrieved,vessel_id,captain_id,area_swept
308854,2003,7,27,2003-07-27T17:30:00Z,2003-07-27T17:51:00Z,460,351,136518
308873,2003,8,2,2003-08-02T11:35:00Z,2003-08-02T11:55:00Z,460,351,98864
308874,2003,8,2,2003-08-02T12:48:00Z,2003-08-02T13:09:00Z,460,351,116289
308875,2003,8,2,2003-08-02T14:41:00Z,2003-08-02T15:01:00Z,460,351,132492
308876,2003,8,2,2003-08-02T15:33:00Z,2003-08-02T15:53:00Z,460,351,139680
308877,2003,8,2,2003-08-02T16:57:00Z,2003-08-02T17:18:00Z,460,351,127890
308878,2003,8,2,2003-08-02T18:14:00Z,2003-08-02T18:35:00Z,460,351,143013
308879,2003,8,3,2003-08-03T06:31:00Z,2003-08-03T06:50:00Z,460,351,132492
308855,2003,7,27,2003-07-27T19:24:00Z,2003-07-27T19:43:00Z,460,351,129762.00000000001
308856,2003,7,27,2003-07-27T21:00:00Z,2003-07-27T21:21:00Z,460,351,145920
308857,2003,7,28,2003-07-28T06:11:00Z,2003-07-28T06:30:00Z,460,351,136152
308858,2003,7,28,2003-07-28T08:03:00Z,2003-07-28T08:24:00Z,460,351,120132
308859,2003,7,31,2003-07-31T06:06:00Z,2003-07-31T06:26:00Z,460,351,144336
308860,2003,7,31,2003-07-31T07:13:00Z,2003-07-31T07:34:00Z,460,351,126809
308861,2003,7,31,2003-07-31T08:23:00Z,2003-07-31T08:42:00Z,460,351,130823.99999999999
308862,2003,7,31,2003-07-31T10:16:00Z,2003-07-31T10:37:00Z,460,351,122668.00000000001
308863,2003,7,31,2003-07-31T11:56:00Z,2003-07-31T12:17:00Z,460,351,151940
308866,2003,7,31,2003-07-31T16:22:00Z,2003-07-31T16:43:00Z,460,351,127108.00000000001
308867,2003,7,31,2003-07-31T17:36:00Z,2003-07-31T17:56:00Z,460,351,144963
308868,2003,7,31,2003-07-31T19:29:00Z,2003-07-31T19:51:00Z,460,351,153800
308848,2003,7,27,2003-07-27T08:35:00Z,2003-07-27T08:56:00Z,460,351,139472
308849,2003,7,27,2003-07-27T09:50:00Z,2003-07-27T10:10:00Z,460,351,141100
308850,2003,7,27,2003-07-27T11:30:00Z,2003-07-27T11:51:00Z,460,351,142688
308852,2003,7,27,2003-07-27T14:06:00Z,2003-07-27T14:26:00Z,460,351,131760
308853,2003,7,27,2003-07-27T15:53:00Z,2003-07-27T16:12:00Z,460,351,159176
308884,2003,8,3,2003-08-03T15:45:00Z,2003-08-03T16:08:00Z,460,351,129918.00000000001
308885,2003,8,3,2003-08-03T18:35:00Z,2003-08-03T18:57:00Z,460,351,138165
308886,2003,8,3,2003-08-03T19:39:00Z,2003-08-03T19:59:00Z,460,351,128010
308872,2003,8,2,2003-08-02T10:11:00Z,2003-08-02T10:30:00Z,460,351,103350
308887,2003,8,3,2003-08-03T20:52:00Z,2003-08-03T21:14:00Z,460,351,130326.00000000001
308888,2003,8,4,2003-08-04T06:15:00Z,2003-08-04T06:36:00Z,460,351,152064
308889,2003,8,4,2003-08-04T07:20:00Z,2003-08-04T07:40:00Z,460,351,147645
308890,2003,8,4,2003-08-04T08:32:00Z,2003-08-04T08:53:00Z,460,351,128352.00000000001
308892,2003,8,4,2003-08-04T11:08:00Z,2003-08-04T11:29:00Z,460,351,153450
308893,2003,8,4,2003-08-04T15:35:00Z,2003-08-04T15:51:00Z,460,351,104806.00000000001
308894,2003,8,4,2003-08-04T18:19:00Z,2003-08-04T18:38:00Z,460,351,126420
308895,2003,8,4,2003-08-04T19:50:00Z,2003-08-04T20:08:00Z,460,351,132639
308917,2003,8,7,2003-08-07T12:53:00Z,2003-08-07T13:14:00Z,460,351,141180
308896,2003,8,5,2003-08-05T06:00:00Z,2003-08-05T06:20:00Z,460,351,126174.99999999999
308870,2003,8,2,2003-08-02T06:06:00Z,2003-08-02T06:26:00Z,460,351,148599
308871,2003,8,2,2003-08-02T08:06:00Z,2003-08-02T08:26:00Z,460,351,136112
308897,2003,8,5,2003-08-05T07:01:00Z,2003-08-05T07:18:00Z,460,351,116564.00000000001
308898,2003,8,5,2003-08-05T12:06:00Z,2003-08-05T12:25:00Z,460,351,128304.00000000001
308899,2003,8,5,2003-08-05T15:17:00Z,2003-08-05T15:39:00Z,460,351,133000
308900,2003,8,5,2003-08-05T17:17:00Z,2003-08-05T17:38:00Z,460,351,129850
308903,2003,8,6,2003-08-06T06:09:00Z,2003-08-06T06:30:00Z,460,351,129234.00000000001
308904,2003,8,6,2003-08-06T07:19:00Z,2003-08-06T07:38:00Z,460,351,158015
308905,2003,8,6,2003-08-06T09:20:00Z,2003-08-06T09:37:00Z,460,351,121965
308906,2003,8,6,2003-08-06T13:59:00Z,2003-08-06T14:21:00Z,460,351,104490
